"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"Soreng","56.26763401854091%","43.73236598145909%","87.95036028823058%","12.049639711769416%","84.94193031637965%","15.058069683620344%","89.01803607214428%","10.98196392785571%","91.19547657512116%","8.804523424878838%","79.04647435897436%","20.953525641025642%"
"Gyalshing","100%","0%","5.163224516988675%","94.83677548301132%","98.73375541486172%","1.2662445851382873%","99.90006662225183%","0.09993337774816789%","99.73333333333333%","0.26666666666666666%","100%","0%"
"Gangtok","99.76%","0.24%","63.72%","36.28%","63.84%","36.16%","98.24%","1.76%","98.28%","1.72%","85.88%","14.12%"
"Namchi","98.97180762852405%","1.0281923714759535%","65.68692206076618%","34.31307793923382%","95.23336643495531%","4.766633565044687%","66.7660702451955%","33.23392975480451%","90.4572564612326%","9.542743538767395%","47.556142668428%","52.443857331572%"
"Mangan","99.33333333333333%","0.6666666666666666%","73.78252168112074%","26.21747831887925%","90.473017988008%","9.526982011992006%","79.42743009320905%","20.572569906790946%","99.53333333333333%","0.4666666666666667%","92.01065246338216%","7.989347536617843%"
"Pakyong","99.76047904191617%","0.23952095808383234%","81.0853950518755%","18.914604948124502%","68.55546687948923%","31.444533120510773%","98.28411811652035%","1.7158818834796488%","99.48124501197127%","0.518754988028731%","90.94173982442139%","9.058260175578612%"
