"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"KARGIL","1.2096774193548387%","98.79032258064517%","100%","0%","100%","0%","0%","100%","13.306451612903226%","86.69354838709677%","0.40160642570281124%","99.59839357429719%"
"LEH LADAKH","0.5208333333333334%","99.47916666666667%","0%","0%","0%","0%","0%","100%","10.9375%","89.0625%","0%","100%"
