"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"South Tripura","100%","0%","99.80756895445799%","0.19243104554201412%","92.8754813863928%","7.124518613607188%","100%","0%","23.797305965362412%","76.20269403463759%","99.4868505452213%","0.5131494547787043%"
"North Tripura","82.49727371864776%","17.502726281352235%","99.89082969432314%","0.1091703056768559%","99.94541484716157%","0.05458515283842795%","99.67284623773173%","0.3271537622682661%","89.57992362247681%","10.420076377523186%","99.34569247546347%","0.6543075245365322%"
"West Tripura","99.9541914796152%","0.04580852038479157%","96.01809954751131%","3.981900452488688%","89.90950226244344%","10.09049773755656%","99.86425339366515%","0.13574660633484162%","57.22046174739701%","42.77953825260299%","99.50226244343891%","0.497737556561086%"
"Dhalai","91.81868435599779%","8.181315644002211%","54.579945799457995%","45.420054200542005%","94.36008676789588%","5.639913232104122%","99.94574064026044%","0.05425935973955507%","29.255029907558455%","70.74497009244155%","99.89159891598916%","0.10840108401084012%"
"Khowai","99.77645305514157%","0.22354694485842028%","97.5482912332838%","2.4517087667161963%","93.61069836552748%","6.3893016344725115%","99.70304380103934%","0.2969561989606533%","78.02524127691166%","21.974758723088346%","99.25760950259837%","0.7423904974016332%"
"Unakoti","75%","25%","99.86842105263158%","0.13157894736842105%","99.6042216358839%","0.39577836411609496%","99.60526315789474%","0.39473684210526316%","88.53754940711462%","11.462450592885375%","98.94736842105263%","1.0526315789473684%"
"Sepahijala","100%","0%","99.38718662952647%","0.6128133704735376%","88.31385642737897%","11.686143572621035%","100%","0%","24.958310172317955%","75.04168982768205%","98.1100611450806%","1.8899388549193996%"
"Gomati","99.40321743642968%","0.5967825635703166%","90.27741768213637%","9.722582317863624%","99.144412756028%","0.8555872439719989%","99.89629245527613%","0.10370754472387866%","39.979258491055226%","60.020741508944774%","99.79258491055224%","0.20741508944775733%"
